,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,test_accuracy_with_best_hyp,model_name,seed,param_base_estimator
11,6.2519982814788815,0.10719768273166275,0.01960124969482422,0.0016253767593921934,0.2,7,150,,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 150}",0.6328125,0.65234375,0.68359375,0.66015625,0.6745098039215687,0.6606832107843138,0.01767862154355286,1,0.696875,Light GBM,0,
12,3.273198890686035,0.10100003905003456,0.007200384140014648,0.00039975647068324946,0.2,9,50,,"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 50}",0.6015625,0.6328125,0.65234375,0.66796875,0.6705882352941176,0.6450551470588235,0.025579633627562534,10,0.696875,Light GBM,0,
13,5.635200119018554,0.04778070622569633,0.013999509811401366,0.001672885345424778,0.2,9,100,,"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 100}",0.6171875,0.6484375,0.65625,0.6796875,0.6666666666666666,0.6536458333333333,0.021027738789777442,5,0.696875,Light GBM,0,
14,7.220599031448364,0.07656247534195386,0.018401193618774413,0.0010195339502359869,0.2,9,150,,"{'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 150}",0.609375,0.6640625,0.6484375,0.6640625,0.6509803921568628,0.6473835784313725,0.02007522205808615,9,0.696875,Light GBM,0,
15,0.2931997776031494,0.018181058263608708,0.00240020751953125,0.0004885792149062876,0.4,1,50,,"{'learning_rate': 0.4, 'max_depth': 1, 'n_estimators': 50}",0.5546875,0.5859375,0.578125,0.609375,0.5764705882352941,0.5809191176470587,0.017610313305896463,27,0.696875,Light GBM,0,
16,0.3525994300842285,0.052293195473108,0.0038003444671630858,0.00040040250418394536,0.4,1,100,,"{'learning_rate': 0.4, 'max_depth': 1, 'n_estimators': 100}",0.53515625,0.58984375,0.578125,0.60546875,0.6039215686274509,0.5825030637254902,0.025694158811745606,26,0.696875,Light GBM,0,
17,0.5111993789672852,0.016653838345812334,0.0046002864837646484,0.00119960334966043,0.4,1,150,,"{'learning_rate': 0.4, 'max_depth': 1, 'n_estimators': 150}",0.51953125,0.59375,0.59375,0.62109375,0.6,0.5856250000000001,0.03454008653904908,24,0.696875,Light GBM,0,
18,0.737999153137207,0.017977575032240952,0.0060001850128173825,0.00253022313751937,0.4,3,50,,"{'learning_rate': 0.4, 'max_depth': 3, 'n_estimators': 50}",0.625,0.546875,0.67578125,0.65625,0.6588235294117647,0.632545955882353,0.045865318853222696,14,0.696875,Light GBM,0,
19,1.3874000549316405,0.03956125075551659,0.008199977874755859,0.0011667848982241334,0.4,3,100,,"{'learning_rate': 0.4, 'max_depth': 3, 'n_estimators': 100}",0.63671875,0.515625,0.67578125,0.6640625,0.6901960784313725,0.6364767156862745,0.06292342586427853,13,0.696875,Light GBM,0,
20,1.954598617553711,0.06137956030402471,0.010000991821289062,0.0012647817079882353,0.4,3,150,,"{'learning_rate': 0.4, 'max_depth': 3, 'n_estimators': 150}",0.6171875,0.38671875,0.66796875,0.671875,0.6745098039215687,0.6036519607843138,0.11050347972073529,17,0.696875,Light GBM,0,
21,1.603598165512085,0.0650044708772891,0.006400775909423828,0.0012002155653684527,0.4,5,50,,"{'learning_rate': 0.4, 'max_depth': 5, 'n_estimators': 50}",0.6015625,0.57421875,0.68359375,0.6796875,0.6470588235294118,0.6372242647058823,0.04310784246660769,12,0.696875,Light GBM,0,
22,2.6927984714508058,0.06717226190355018,0.011400604248046875,0.0025771326462763664,0.4,5,100,,"{'learning_rate': 0.4, 'max_depth': 5, 'n_estimators': 100}",0.58984375,0.41796875,0.6796875,0.6640625,0.6509803921568628,0.6005085784313725,0.09621884854589378,18,0.696875,Light GBM,0,
23,3.3648000240325926,0.7067489610173714,0.011999940872192383,0.0028278176872104815,0.4,5,150,,"{'learning_rate': 0.4, 'max_depth': 5, 'n_estimators': 150}",0.58203125,0.3984375,0.671875,0.65625,0.6431372549019608,0.5903462009803921,0.10067297461656166,21,0.696875,Light GBM,0,
24,2.172798919677734,0.26980087218036897,0.007600164413452149,0.004317292521947692,0.4,7,50,,"{'learning_rate': 0.4, 'max_depth': 7, 'n_estimators': 50}",0.59765625,0.41796875,0.66796875,0.6328125,0.4666666666666667,0.5566145833333334,0.09716335333294533,31,0.696875,Light GBM,0,
25,3.354400157928467,0.6127560288166322,0.01139969825744629,0.005004489557223426,0.4,7,100,,"{'learning_rate': 0.4, 'max_depth': 7, 'n_estimators': 100}",0.62109375,0.40625,0.66015625,0.640625,0.47843137254901963,0.5613112745098039,0.10054652416484772,29,0.696875,Light GBM,0,
26,3.8718002319335936,0.9177983379341191,0.010599994659423828,0.0035552668998613205,0.4,7,150,,"{'learning_rate': 0.4, 'max_depth': 7, 'n_estimators': 150}",0.609375,0.42578125,0.66015625,0.640625,0.13333333333333333,0.49385416666666665,0.1985710535920399,34,0.696875,Light GBM,0,
27,2.629199504852295,0.40288358181536194,0.006399869918823242,0.0004899793579063824,0.4,9,50,,"{'learning_rate': 0.4, 'max_depth': 9, 'n_estimators': 50}",0.6015625,0.421875,0.6484375,0.66796875,0.6549019607843137,0.5989491421568627,0.09132973579398158,19,0.696875,Light GBM,0,
28,3.885799932479858,0.8317284055585269,0.010399627685546874,0.0024175944100722764,0.4,9,100,,"{'learning_rate': 0.4, 'max_depth': 9, 'n_estimators': 100}",0.57421875,0.48828125,0.67578125,0.64453125,0.6431372549019608,0.6051899509803922,0.06722756404308039,16,0.696875,Light GBM,0,
29,4.104399824142456,0.9237284831366817,0.01219935417175293,0.002925943182772691,0.4,9,150,,"{'learning_rate': 0.4, 'max_depth': 9, 'n_estimators': 150}",0.58203125,0.35546875,0.68359375,0.6484375,0.6549019607843137,0.5848866421568627,0.1194359008170711,25,0.696875,Light GBM,0,
30,0.298399829864502,0.01323036902668172,0.0024008750915527344,0.001355777315677478,0.6000000000000001,1,50,,"{'learning_rate': 0.6000000000000001, 'max_depth': 1, 'n_estimators': 50}",0.546875,0.59375,0.578125,0.59765625,0.4549019607843137,0.5542616421568628,0.0527992253870546,32,0.696875,Light GBM,0,
31,0.43759961128234864,0.014458265326956403,0.0036006927490234374,0.0008004192088451437,0.6000000000000001,1,100,,"{'learning_rate': 0.6000000000000001, 'max_depth': 1, 'n_estimators': 100}",0.5625,0.6015625,0.5703125,0.61328125,0.4588235294117647,0.5612959558823529,0.05460258484084709,30,0.696875,Light GBM,0,
32,0.5553997039794922,0.023921412830201473,0.005200338363647461,0.0007485321515798529,0.6000000000000001,1,150,,"{'learning_rate': 0.6000000000000001, 'max_depth': 1, 'n_estimators': 150}",0.5625,0.59765625,0.58203125,0.62890625,0.4588235294117647,0.565983455882353,0.05781930457710336,28,0.696875,Light GBM,0,
